═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ   [180/230] tvgids.nl (nl) - RTVUtrecht.nl@SD - Apr 24, 2026 (132 programs)
ℹ   [181/230] tvgids.nl (nl) - sat1 - Apr 24, 2026 (28 programs)
ℹ   [182/230] tvgids.nl (nl) - rtvwest - Apr 24, 2026 (66 programs)
ℹ   [183/230] tvgids.nl (nl) - SBS6.nl@SD - Apr 24, 2026 (39 programs)
ℹ   [184/230] tvgids.nl (nl) - sat1 - Apr 25, 2026 (31 programs)
ℹ   [185/230] tvgids.nl (nl) - SBS6.nl@SD - Apr 25, 2026 (37 programs)
ℹ   [186/230] tvgids.nl (nl) - ShortsTV.uk@SD - Apr 24, 2026 (30 programs)
ℹ   [187/230] tvgids.nl (nl) - rtvwest - Apr 25, 2026 (64 programs)
ℹ   [188/230] tvgids.nl (nl) - STARChannel.nl@HD - Apr 24, 2026 (38 programs)
ℹ   [189/230] tvgids.nl (nl) - ShortsTV.uk@SD - Apr 25, 2026 (30 programs)
ℹ   [190/230] tvgids.nl (nl) - StingrayClassica.ca@SD - Apr 24, 2026 (29 programs)
ℹ   [191/230] tvgids.nl (nl) - TLC.nl@SD - Apr 24, 2026 (31 programs)
ℹ   [192/230] tvgids.nl (nl) - STARChannel.nl@HD - Apr 25, 2026 (43 programs)
ℹ   [193/230] tvgids.nl (nl) - StingrayClassica.ca@SD - Apr 25, 2026 (28 programs)
ℹ   [194/230] tvgids.nl (nl) - TLC.nl@SD - Apr 25, 2026 (34 programs)
ℹ   [195/230] tvgids.nl (nl) - TV5MondeEurope.fr@SD - Apr 24, 2026 (69 programs)
ℹ   [196/230] tvgids.nl (tr) - TRTWorld.tr@SD - Apr 24, 2026 (57 programs)
ℹ   [197/230] tvgids.nl (tr) - TRTWorld.tr@SD - Apr 25, 2026 (53 programs)
ℹ   [198/230] tvgids.nl (nl) - TV5MondeEurope.fr@SD - Apr 25, 2026 (65 programs)
ℹ   [199/230] tvgids.nl (nl) - TV538.nl@SD - Apr 24, 2026 (17 programs)
ℹ   [200/230] tvgids.nl (es) - TVEInternacionalEuropeAsia.es@SD - Apr 24, 2026 (25 programs)
ℹ   [201/230] tvgids.nl (nl) - TV538.nl@SD - Apr 25, 2026 (17 programs)
ℹ   [202/230] tvgids.nl (nl) - veronica - Apr 24, 2026 (16 programs)
ℹ   [203/230] tvgids.nl (es) - TVEInternacionalEuropeAsia.es@SD - Apr 25, 2026 (31 programs)
ℹ   [204/230] tvgids.nl (nl) - veronicadisneyxd - Apr 24, 2026 (85 programs)
ℹ   [205/230] tvgids.nl (nl) - veronica - Apr 25, 2026 (14 programs)
ℹ   [206/230] tvgids.nl (nl) - veronicadisneyxd - Apr 25, 2026 (78 programs)
ℹ   [207/230] tvgids.nl (nl) - ViaplayTV.nl@HD - Apr 24, 2026 (29 programs)
ℹ   [208/230] tvgids.nl (nl) - ViaplayTV.nl@HD - Apr 25, 2026 (21 programs)
ℹ   [209/230] tvgids.nl (nl) - VRT1.be@HD - Apr 24, 2026 (56 programs)
ℹ   [210/230] tvgids.nl (nl) - VRT1.be@HD - Apr 25, 2026 (50 programs)
ℹ   [211/230] tvgids.nl (nl) - wdr - Apr 25, 2026 (46 programs)
ℹ   [212/230] tvgids.nl (nl) - wdr - Apr 24, 2026 (48 programs)
ℹ   [213/230] tvgids.nl (nl) - XITE.nl@SD - Apr 24, 2026 (13 programs)
ℹ   [214/230] tvgids.nl (nl) - XITE.nl@SD - Apr 25, 2026 (9 programs)
ℹ   [215/230] tvgids.nl (nl) - ZDF.de@SD - Apr 24, 2026 (37 programs)
ℹ   [216/230] tvgids.nl (nl) - ZDF.de@SD - Apr 25, 2026 (47 programs)
ℹ   [217/230] tvgids.nl (nl) - OmroepZeeland.nl@SD - Apr 24, 2026 (50 programs)
ℹ   [218/230] tvgids.nl (nl) - OmroepZeeland.nl@SD - Apr 25, 2026 (38 programs)
ℹ   [219/230] tvgids.nl (nl) - ZiggoSport.nl@HD - Apr 24, 2026 (39 programs)
ℹ   [220/230] tvgids.nl (nl) - ZiggoSport.nl@HD - Apr 25, 2026 (34 programs)
ℹ   [221/230] tvgids.nl (nl) - ZiggoSport2.nl@HD - Apr 24, 2026 (42 programs)
ℹ   [222/230] tvgids.nl (nl) - ZiggoSport2.nl@HD - Apr 25, 2026 (36 programs)
ℹ   [223/230] tvgids.nl (nl) - ZiggoSport3.nl@HD - Apr 24, 2026 (34 programs)
ℹ   [224/230] tvgids.nl (nl) - ZiggoSport3.nl@HD - Apr 25, 2026 (30 programs)
ℹ   [225/230] tvgids.nl (nl) - ZiggoSport4.nl@HD - Apr 24, 2026 (15 programs)
ℹ   [226/230] tvgids.nl (nl) - ZiggoSport4.nl@HD - Apr 25, 2026 (17 programs)
ℹ   [227/230] tvgids.nl (nl) - ZiggoSport5.nl@HD - Apr 24, 2026 (63 programs)
ℹ   [228/230] tvgids.nl (nl) - ZiggoSport5.nl@HD - Apr 25, 2026 (52 programs)
