═══════════════════════════════════════════════════════════════
  Site            : tv-programme.telecablesat.fr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 536
  With programmes : 5
  Empty channels  : 531
  Total programs  : 112
  Output size     : 115140 bytes
  HTTP errors     :
    531 status code 503
  Last error      : Request failed with status code 503
  Generated       : 2026-04-24 12:56:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:55:52 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-programme.telecablesat.fr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 268 channel(s)
ℹ loading api data...
ℹ   [85/536] tv-programme.telecablesat.fr (fr) - RTL9.lu@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [86/536] tv-programme.telecablesat.fr (fr) - RTL9.lu@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [87/536] tv-programme.telecablesat.fr (fr) - BFMLyon.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [88/536] tv-programme.telecablesat.fr (fr) - BFMLyon.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [89/536] tv-programme.telecablesat.fr (fr) - M6.fr@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [90/536] tv-programme.telecablesat.fr (fr) - M6.fr@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [91/536] tv-programme.telecablesat.fr (fr) - W9.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [92/536] tv-programme.telecablesat.fr (fr) - W9.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [93/536] tv-programme.telecablesat.fr (fr) - MCM.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [94/536] tv-programme.telecablesat.fr (fr) - MCM.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [95/536] tv-programme.telecablesat.fr (fr) - Mezzo.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [96/536] tv-programme.telecablesat.fr (fr) - Mezzo.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [97/536] tv-programme.telecablesat.fr (fr) - MTV.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [98/536] tv-programme.telecablesat.fr (fr) - MTV.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [99/536] tv-programme.telecablesat.fr (fr) - EuronewsFrench.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [100/536] tv-programme.telecablesat.fr (fr) - EuronewsFrench.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [101/536] tv-programme.telecablesat.fr (fr) - ParisPremiere.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [102/536] tv-programme.telecablesat.fr (fr) - ParisPremiere.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [103/536] tv-programme.telecablesat.fr (fr) - PlanetePlus.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [104/536] tv-programme.telecablesat.fr (fr) - PlanetePlus.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [105/536] tv-programme.telecablesat.fr (it) - Rai2.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [106/536] tv-programme.telecablesat.fr (it) - Rai2.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [107/536] tv-programme.telecablesat.fr (it) - Rai3.it@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [108/536] tv-programme.telecablesat.fr (it) - Rai1.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [109/536] tv-programme.telecablesat.fr (it) - Rai3.it@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [110/536] tv-programme.telecablesat.fr (it) - Rai1.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [111/536] tv-programme.telecablesat.fr (fr) - LaUne.be@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [112/536] tv-programme.telecablesat.fr (fr) - LaUne.be@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [113/536] tv-programme.telecablesat.fr (fr) - RTLTVI.be@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [114/536] tv-programme.telecablesat.fr (fr) - RTLTVI.be@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
