═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [196/1066] sky.com (en) - BBCOne.uk@NorthEastCumbriaHD - Apr 25, 2026 (23 programs)
ℹ   [197/1066] sky.com (en) - BBCOne.uk@NorthEastCumbriaHD - Apr 24, 2026 (23 programs)
ℹ   [198/1066] sky.com (en) - BBCOne.uk@NorthernIrelandHD - Apr 24, 2026 (23 programs)
ℹ   [199/1066] sky.com (en) - BBCOne.uk@NorthernIrelandHD - Apr 24, 2026 (23 programs)
ℹ   [200/1066] sky.com (en) - BBCOne.uk@NorthWestHD - Apr 24, 2026 (23 programs)
ℹ   [201/1066] sky.com (en) - BBCOne.uk@NorthernIrelandHD - Apr 25, 2026 (22 programs)
ℹ   [202/1066] sky.com (en) - BBCOne.uk@ScotlandHD - Apr 24, 2026 (24 programs)
ℹ   [203/1066] sky.com (en) - BBCOne.uk@NorthWestHD - Apr 25, 2026 (23 programs)
ℹ   [204/1066] sky.com (en) - BBCOne.uk@ScotlandHD - Apr 25, 2026 (23 programs)
ℹ   [205/1066] sky.com (en) - BBCOne.uk@SouthEastHD - Apr 25, 2026 (23 programs)
ℹ   [206/1066] sky.com (en) - BBCOne.uk@SouthEastHD - Apr 24, 2026 (23 programs)
ℹ   [207/1066] sky.com (en) - BBCOne.uk@SouthHD - Apr 24, 2026 (23 programs)
ℹ   [208/1066] sky.com (en) - BBCOne.uk@SouthHD - Apr 25, 2026 (23 programs)
ℹ   [209/1066] sky.com (en) - BBCOne.uk@SouthWestHD - Apr 24, 2026 (23 programs)
ℹ   [210/1066] sky.com (en) - BBCOne.uk@SouthWestHD - Apr 25, 2026 (23 programs)
ℹ   [211/1066] sky.com (en) - BBCOne.uk@WalesHD - Apr 24, 2026 (25 programs)
ℹ   [212/1066] sky.com (en) - BBCOne.uk@WalesHD - Apr 25, 2026 (20 programs)
ℹ   [213/1066] sky.com (en) - BBCOne.uk@WestHD - Apr 24, 2026 (23 programs)
ℹ   [214/1066] sky.com (en) - BBCOne.uk@WestHD - Apr 25, 2026 (23 programs)
ℹ   [215/1066] sky.com (en) - BBCOne.uk@WestMidlandsHD - Apr 24, 2026 (23 programs)
ℹ   [216/1066] sky.com (en) - BBCOne.uk@YorkshireHD - Apr 24, 2026 (23 programs)
ℹ   [217/1066] sky.com (en) - BBCOne.uk@WestMidlandsHD - Apr 25, 2026 (23 programs)
ℹ   [218/1066] sky.com (en) - BBCOne.uk@YorkshireHD - Apr 25, 2026 (23 programs)
