═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [197/6132] streamingtvguides.com (en) - ANDTVHD - Apr 24, 2026 (0 programs)
ℹ   [198/6132] streamingtvguides.com (en) - ANDTVHD - Apr 25, 2026 (0 programs)
ℹ   [199/6132] streamingtvguides.com (en) - ANGEL1 - Apr 24, 2026 (0 programs)
ℹ   [200/6132] streamingtvguides.com (en) - ANGEL1 - Apr 25, 2026 (0 programs)
ℹ   [201/6132] streamingtvguides.com (en) - ANT3I - Apr 24, 2026 (0 programs)
ℹ   [202/6132] streamingtvguides.com (en) - ANT3I - Apr 25, 2026 (0 programs)
ℹ   [203/6132] streamingtvguides.com (en) - ANT3IHD - Apr 24, 2026 (0 programs)
ℹ   [204/6132] streamingtvguides.com (en) - ANTEN - Apr 24, 2026 (0 programs)
ℹ   [205/6132] streamingtvguides.com (en) - ANT3IHD - Apr 25, 2026 (0 programs)
ℹ   [206/6132] streamingtvguides.com (en) - ANTEN - Apr 25, 2026 (0 programs)
ℹ   [207/6132] streamingtvguides.com (en) - APLHD - Apr 25, 2026 (0 programs)
ℹ   [208/6132] streamingtvguides.com (en) - APLHD - Apr 24, 2026 (0 programs)
ℹ   [209/6132] streamingtvguides.com (en) - APLHDP - Apr 24, 2026 (0 programs)
ℹ   [210/6132] streamingtvguides.com (en) - APLHDP - Apr 25, 2026 (0 programs)
ℹ   [211/6132] streamingtvguides.com (en) - APLP - Apr 24, 2026 (0 programs)
ℹ   [212/6132] streamingtvguides.com (en) - APLP - Apr 25, 2026 (0 programs)
ℹ   [213/6132] streamingtvguides.com (en) - ARABCH - Apr 24, 2026 (0 programs)
ℹ   [214/6132] streamingtvguides.com (en) - ARABCH - Apr 25, 2026 (0 programs)
ℹ   [215/6132] streamingtvguides.com (en) - ARABIYA - Apr 24, 2026 (0 programs)
ℹ   [216/6132] streamingtvguides.com (en) - ARABIYA - Apr 25, 2026 (0 programs)
ℹ   [217/6132] streamingtvguides.com (en) - ARANG - Apr 24, 2026 (0 programs)
ℹ   [218/6132] streamingtvguides.com (en) - ARANG - Apr 25, 2026 (0 programs)
ℹ   [219/6132] streamingtvguides.com (en) - ARBMU - Apr 24, 2026 (0 programs)
ℹ   [220/6132] streamingtvguides.com (en) - ARBMU - Apr 25, 2026 (0 programs)
ℹ   [221/6132] streamingtvguides.com (en) - ARID - Apr 24, 2026 (0 programs)
ℹ   [222/6132] streamingtvguides.com (en) - ARID - Apr 25, 2026 (0 programs)
ℹ   [223/6132] streamingtvguides.com (en) - ARMENPC - Apr 24, 2026 (0 programs)
ℹ   [224/6132] streamingtvguides.com (en) - ARMENPC - Apr 25, 2026 (0 programs)
ℹ   [225/6132] streamingtvguides.com (en) - ARMO - Apr 24, 2026 (0 programs)
ℹ   [226/6132] streamingtvguides.com (en) - ARMO - Apr 25, 2026 (0 programs)
ℹ   [227/6132] streamingtvguides.com (en) - ARTA1 - Apr 24, 2026 (0 programs)
ℹ   [228/6132] streamingtvguides.com (en) - ARTA1 - Apr 25, 2026 (0 programs)
ℹ   [229/6132] streamingtvguides.com (en) - ARTAF2 - Apr 24, 2026 (0 programs)
ℹ   [230/6132] streamingtvguides.com (en) - ARTAF2 - Apr 25, 2026 (0 programs)
ℹ   [231/6132] streamingtvguides.com (en) - ARTAMER - Apr 24, 2026 (0 programs)
ℹ   [232/6132] streamingtvguides.com (en) - ARTAMER - Apr 25, 2026 (0 programs)
ℹ   [233/6132] streamingtvguides.com (en) - ARTCN - Apr 24, 2026 (0 programs)
ℹ   [234/6132] streamingtvguides.com (en) - ARTCN - Apr 25, 2026 (0 programs)
ℹ   [235/6132] streamingtvguides.com (en) - ARYDI - Apr 24, 2026 (0 programs)
ℹ   [236/6132] streamingtvguides.com (en) - ARYDI - Apr 25, 2026 (0 programs)
ℹ   [237/6132] streamingtvguides.com (en) - ARYNEWS - Apr 24, 2026 (0 programs)
ℹ   [238/6132] streamingtvguides.com (en) - ARYNEWS - Apr 25, 2026 (0 programs)
ℹ   [239/6132] streamingtvguides.com (en) - ARYZAUQ - Apr 24, 2026 (0 programs)
ℹ   [240/6132] streamingtvguides.com (en) - ARYZAUQ - Apr 25, 2026 (0 programs)
