═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [207/4168] mi.tv (es) - Golden.mx@Panregional - Apr 24, 2026 (14 programs)
ℹ   [208/4168] mi.tv (es) - Golden.mx@Panregional - Apr 25, 2026 (14 programs)
ℹ   [209/4168] mi.tv (es) - GoldenEdge.mx@Panregional - Apr 24, 2026 (13 programs)
ℹ   [210/4168] mi.tv (es) - GoldenEdge.mx@Panregional - Apr 25, 2026 (11 programs)
ℹ   [211/4168] mi.tv (es) - GolfChannelLatinAmerica.us@SD - Apr 24, 2026 (12 programs)
ℹ   [212/4168] mi.tv (es) - GolfChannelLatinAmerica.us@SD - Apr 25, 2026 (12 programs)
ℹ   [213/4168] mi.tv (es) - History2LatinAmerica.us@Panregional - Apr 24, 2026 (33 programs)
ℹ   [214/4168] mi.tv (es) - History2LatinAmerica.us@Panregional - Apr 25, 2026 (31 programs)
ℹ   [215/4168] mi.tv (es) - HAPSATV.ar@SD - Apr 24, 2026 (7 programs)
ℹ   [216/4168] mi.tv (es) - HAPSATV.ar@SD - Apr 25, 2026 (7 programs)
ℹ   [217/4168] mi.tv (es) - ar#hbo - Apr 24, 2026 (13 programs)
ℹ   [218/4168] mi.tv (es) - ar#hbo - Apr 25, 2026 (13 programs)
ℹ   [219/4168] mi.tv (es) - HBO2LatinAmerica.us@SD - Apr 24, 2026 (13 programs)
ℹ   [220/4168] mi.tv (es) - HBO2LatinAmerica.us@SD - Apr 25, 2026 (14 programs)
ℹ   [221/4168] mi.tv (es) - ar#hbo-2-hd - Apr 24, 2026 (13 programs)
ℹ   [222/4168] mi.tv (es) - ar#hbo-2-hd - Apr 25, 2026 (14 programs)
ℹ   [223/4168] mi.tv (es) - HBOFamilyLatinAmerica.us@SD - Apr 24, 2026 (15 programs)
ℹ   [224/4168] mi.tv (es) - HBOFamilyLatinAmerica.us@SD - Apr 25, 2026 (16 programs)
ℹ   [225/4168] mi.tv (es) - ar#hbo-family-hd - Apr 24, 2026 (15 programs)
ℹ   [226/4168] mi.tv (es) - ar#hbo-family-hd - Apr 25, 2026 (16 programs)
