═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ   [213/1206] dishtv.in (en) - 142912 - Apr 24, 2026 (84 programs)
ℹ   [214/1206] dishtv.in (en) - 142912 - Apr 25, 2026 (28 programs)
ℹ   [215/1206] dishtv.in (en) - 142913 - Apr 24, 2026 (84 programs)
ℹ   [216/1206] dishtv.in (en) - 142918 - Apr 24, 2026 (34 programs)
ℹ   [217/1206] dishtv.in (en) - 142918 - Apr 25, 2026 (39 programs)
ℹ   [218/1206] dishtv.in (en) - 142919 - Apr 24, 2026 (8 programs)
ℹ   [219/1206] dishtv.in (en) - 142919 - Apr 25, 2026 (8 programs)
ℹ   [220/1206] dishtv.in (en) - 142913 - Apr 25, 2026 (80 programs)
ℹ   [221/1206] dishtv.in (en) - SongdewTV.in@SD - Apr 24, 2026 (100 programs)
ℹ   [222/1206] dishtv.in (en) - SongdewTV.in@SD - Apr 25, 2026 (100 programs)
ℹ   [223/1206] dishtv.in (en) - 142921 - Apr 24, 2026 (16 programs)
ℹ   [224/1206] dishtv.in (en) - 142921 - Apr 25, 2026 (18 programs)
ℹ   [225/1206] dishtv.in (en) - 142926 - Apr 24, 2026 (22 programs)
ℹ   [226/1206] dishtv.in (en) - 142926 - Apr 25, 2026 (21 programs)
ℹ   [227/1206] dishtv.in (en) - 142985 - Apr 25, 2026 (8 programs)
ℹ   [228/1206] dishtv.in (en) - 142985 - Apr 24, 2026 (8 programs)
ℹ   [229/1206] dishtv.in (en) - 142986 - Apr 24, 2026 (96 programs)
ℹ   [230/1206] dishtv.in (en) - 142986 - Apr 25, 2026 (92 programs)
ℹ   [231/1206] dishtv.in (en) - DisneyJunior.in@SD - Apr 24, 2026 (15 programs)
ℹ   [232/1206] dishtv.in (en) - DisneyJunior.in@SD - Apr 25, 2026 (15 programs)
ℹ   [233/1206] dishtv.in (en) - ChannelDivya.in@SD - Apr 24, 2026 (53 programs)
ℹ   [234/1206] dishtv.in (en) - DisneyInternationalHD.in@SD - Apr 24, 2026 (48 programs)
ℹ   [235/1206] dishtv.in (en) - DisneyInternationalHD.in@SD - Apr 25, 2026 (46 programs)
ℹ   [236/1206] dishtv.in (en) - ChannelDivya.in@SD - Apr 25, 2026 (53 programs)
