═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [163/624] tv-spored.siol.net (sl) - ewtn - Apr 25, 2026 (39 programs)
ℹ   [164/624] tv-spored.siol.net (sl) - eurosport2 - Apr 24, 2026 (16 programs)
ℹ   [165/624] tv-spored.siol.net (sl) - ewtn - Apr 24, 2026 (41 programs)
ℹ   [166/624] tv-spored.siol.net (sl) - eurosport2 - Apr 25, 2026 (14 programs)
ℹ   [167/624] tv-spored.siol.net (sl) - exodustv - Apr 24, 2026 (32 programs)
ℹ   [168/624] tv-spored.siol.net (sl) - exodustv - Apr 25, 2026 (36 programs)
ℹ   [169/624] tv-spored.siol.net (sl) - explore - Apr 24, 2026 (23 programs)
ℹ   [170/624] tv-spored.siol.net (sl) - extreme - Apr 24, 2026 (19 programs)
ℹ   [171/624] tv-spored.siol.net (sl) - explore - Apr 25, 2026 (24 programs)
ℹ   [172/624] tv-spored.siol.net (sl) - extreme - Apr 25, 2026 (19 programs)
ℹ   [173/624] tv-spored.siol.net (sl) - extremede - Apr 25, 2026 (12 programs)
ℹ   [174/624] tv-spored.siol.net (sl) - fashion - Apr 25, 2026 (47 programs)
ℹ   [175/624] tv-spored.siol.net (sl) - fashion - Apr 24, 2026 (47 programs)
ℹ   [176/624] tv-spored.siol.net (sl) - fashionbox - Apr 24, 2026 (28 programs)
