═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [232/2194] tataplay.com (en) - 833 - Apr 25, 2026 (7 programs)
ℹ   [233/2194] tataplay.com (en) - 840 - Apr 25, 2026 (12 programs)
ℹ   [234/2194] tataplay.com (en) - 842 - Apr 24, 2026 (8 programs)
ℹ   [235/2194] tataplay.com (en) - 821 - Apr 25, 2026 (0 programs)
ℹ   [236/2194] tataplay.com (en) - 842 - Apr 25, 2026 (8 programs)
ℹ   [237/2194] tataplay.com (en) - 849 - Apr 24, 2026 (12 programs)
ℹ   [238/2194] tataplay.com (en) - 849 - Apr 25, 2026 (12 programs)
ℹ   [239/2194] tataplay.com (en) - 865 - Apr 25, 2026 (26 programs)
ℹ   [240/2194] tataplay.com (en) - 865 - Apr 24, 2026 (26 programs)
ℹ   [241/2194] tataplay.com (en) - 866 - Apr 24, 2026 (12 programs)
ℹ   [242/2194] tataplay.com (en) - 868 - Apr 24, 2026 (18 programs)
ℹ   [243/2194] tataplay.com (en) - 868 - Apr 25, 2026 (22 programs)
ℹ   [244/2194] tataplay.com (en) - 866 - Apr 25, 2026 (12 programs)
ℹ   [245/2194] tataplay.com (en) - 872 - Apr 24, 2026 (48 programs)
ℹ   [246/2194] tataplay.com (en) - 872 - Apr 25, 2026 (48 programs)
ℹ   [247/2194] tataplay.com (en) - 873 - Apr 24, 2026 (42 programs)
ℹ   [248/2194] tataplay.com (en) - 873 - Apr 25, 2026 (42 programs)
ℹ   [249/2194] tataplay.com (en) - 883 - Apr 24, 2026 (51 programs)
ℹ   [250/2194] tataplay.com (en) - 883 - Apr 25, 2026 (51 programs)
ℹ   [251/2194] tataplay.com (en) - 887 - Apr 24, 2026 (51 programs)
ℹ   [252/2194] tataplay.com (en) - 887 - Apr 25, 2026 (51 programs)
ℹ   [253/2194] tataplay.com (en) - 892 - Apr 25, 2026 (31 programs)
ℹ   [254/2194] tataplay.com (en) - 892 - Apr 24, 2026 (31 programs)
ℹ   [255/2194] tataplay.com (en) - 893 - Apr 24, 2026 (48 programs)
ℹ   [256/2194] tataplay.com (en) - 893 - Apr 25, 2026 (48 programs)
ℹ   [257/2194] tataplay.com (en) - 911 - Apr 24, 2026 (23 programs)
ℹ   [258/2194] tataplay.com (en) - 908 - Apr 24, 2026 (19 programs)
ℹ   [259/2194] tataplay.com (en) - 911 - Apr 25, 2026 (25 programs)
ℹ   [260/2194] tataplay.com (en) - 912 - Apr 24, 2026 (48 programs)
ℹ   [261/2194] tataplay.com (en) - 908 - Apr 25, 2026 (0 programs)
ℹ   [262/2194] tataplay.com (en) - 912 - Apr 25, 2026 (48 programs)
ℹ   [263/2194] tataplay.com (en) - 928 - Apr 25, 2026 (24 programs)
ℹ   [264/2194] tataplay.com (en) - 928 - Apr 24, 2026 (24 programs)
ℹ   [265/2194] tataplay.com (en) - 929 - Apr 24, 2026 (24 programs)
ℹ   [266/2194] tataplay.com (en) - 929 - Apr 25, 2026 (24 programs)
ℹ   [267/2194] tataplay.com (en) - 930 - Apr 25, 2026 (46 programs)
ℹ   [268/2194] tataplay.com (en) - 930 - Apr 24, 2026 (46 programs)
ℹ   [269/2194] tataplay.com (en) - 931 - Apr 24, 2026 (47 programs)
ℹ   [270/2194] tataplay.com (en) - 931 - Apr 25, 2026 (47 programs)
ℹ   [271/2194] tataplay.com (en) - 933 - Apr 24, 2026 (9 programs)
ℹ   [272/2194] tataplay.com (en) - 933 - Apr 25, 2026 (9 programs)
ℹ   [273/2194] tataplay.com (en) - 940 - Apr 25, 2026 (27 programs)
ℹ   [274/2194] tataplay.com (en) - 940 - Apr 24, 2026 (27 programs)
ℹ   [275/2194] tataplay.com (en) - 943 - Apr 24, 2026 (44 programs)
ℹ   [276/2194] tataplay.com (en) - 944 - Apr 24, 2026 (14 programs)
ℹ   [277/2194] tataplay.com (en) - 943 - Apr 25, 2026 (48 programs)
ℹ   [278/2194] tataplay.com (en) - 947 - Apr 24, 2026 (15 programs)
ℹ   [279/2194] tataplay.com (en) - 944 - Apr 25, 2026 (14 programs)
ℹ   [280/2194] tataplay.com (en) - 947 - Apr 25, 2026 (15 programs)
ℹ   [281/2194] tataplay.com (en) - 959 - Apr 25, 2026 (33 programs)
ℹ   [282/2194] tataplay.com (en) - 948 - Apr 24, 2026 (9 programs)
ℹ   [283/2194] tataplay.com (en) - 948 - Apr 25, 2026 (9 programs)
