═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [210/704] freeview.co.uk (en) - 64368#6153 - Apr 24, 2026 (8 programs)
ℹ   [211/704] freeview.co.uk (en) - 64361#32836 - Apr 24, 2026 (32 programs)
ℹ   [212/704] freeview.co.uk (en) - 64361#32836 - Apr 25, 2026 (32 programs)
ℹ   [213/704] freeview.co.uk (en) - 64368#6217 - Apr 24, 2026 (7 programs)
ℹ   [214/704] freeview.co.uk (en) - 64368#6281 - Apr 24, 2026 (7 programs)
ℹ   [215/704] freeview.co.uk (en) - 64368#6217 - Apr 25, 2026 (11 programs)
ℹ   [216/704] freeview.co.uk (en) - 64368#6153 - Apr 25, 2026 (12 programs)
ℹ   [217/704] freeview.co.uk (en) - 64368#6281 - Apr 25, 2026 (10 programs)
ℹ   [218/704] freeview.co.uk (en) - 64364#32875 - Apr 25, 2026 (36 programs)
ℹ   [219/704] freeview.co.uk (en) - 64376#6152 - Apr 24, 2026 (8 programs)
ℹ   [220/704] freeview.co.uk (en) - 64369#32837 - Apr 25, 2026 (32 programs)
ℹ   [221/704] freeview.co.uk (en) - 64376#6216 - Apr 24, 2026 (7 programs)
ℹ   [222/704] freeview.co.uk (en) - 64376#6152 - Apr 25, 2026 (12 programs)
ℹ   [223/704] freeview.co.uk (en) - 64369#32837 - Apr 24, 2026 (32 programs)
ℹ   [224/704] freeview.co.uk (en) - 64376#6216 - Apr 25, 2026 (9 programs)
ℹ   [225/704] freeview.co.uk (en) - 64370#32869 - Apr 24, 2026 (32 programs)
ℹ   [226/704] freeview.co.uk (en) - 64377#30081 - Apr 25, 2026 (40 programs)
ℹ   [227/704] freeview.co.uk (en) - 64376#6280 - Apr 24, 2026 (7 programs)
ℹ   [228/704] freeview.co.uk (en) - 64377#30209 - Apr 24, 2026 (48 programs)
ℹ   [229/704] freeview.co.uk (en) - 64370#32869 - Apr 25, 2026 (32 programs)
ℹ   [230/704] freeview.co.uk (en) - 64376#6280 - Apr 25, 2026 (10 programs)
ℹ   [231/704] freeview.co.uk (en) - 64377#30337 - Apr 24, 2026 (4 programs)
ℹ   [232/704] freeview.co.uk (en) - 64377#30337 - Apr 25, 2026 (3 programs)
ℹ   [233/704] freeview.co.uk (en) - 64377#30273 - Apr 25, 2026 (19 programs)
ℹ   [234/704] freeview.co.uk (en) - 64377#30081 - Apr 24, 2026 (37 programs)
ℹ   [235/704] freeview.co.uk (en) - 64377#30273 - Apr 24, 2026 (19 programs)
ℹ   [236/704] freeview.co.uk (en) - 64377#30401 - Apr 24, 2026 (39 programs)
ℹ   [237/704] freeview.co.uk (en) - 64377#30209 - Apr 25, 2026 (48 programs)
ℹ   [238/704] freeview.co.uk (en) - 64377#30657 - Apr 24, 2026 (29 programs)
ℹ   [239/704] freeview.co.uk (en) - 64377#30401 - Apr 25, 2026 (39 programs)
ℹ   [240/704] freeview.co.uk (en) - 64377#30657 - Apr 25, 2026 (28 programs)
ℹ   [241/704] freeview.co.uk (en) - 64377#30465 - Apr 24, 2026 (48 programs)
ℹ   [242/704] freeview.co.uk (en) - 64377#30721 - Apr 24, 2026 (21 programs)
ℹ   [243/704] freeview.co.uk (en) - 64377#30721 - Apr 25, 2026 (21 programs)
ℹ   [244/704] freeview.co.uk (en) - 64377#30465 - Apr 25, 2026 (48 programs)
