═══════════════════════════════════════════════════════════════
  Site            : epgshare01.online
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 632s
  Channels        : 3920
  With programmes : 2097
  Empty channels  : 1823
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 11:04:30
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:53:58 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epgshare01.online --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 20706 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [132/41412] epgshare01.online (es) - AR1#Canal.Space.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [133/41412] epgshare01.online (es) - AR1#Canal.Star.Channel.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [134/41412] epgshare01.online (es) - AR1#Canal.Star.Channel.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [135/41412] epgshare01.online (es) - AR1#Canal.Sun.Channel.ar - Apr 24, 2026 (0 programs)
ℹ   [136/41412] epgshare01.online (es) - AR1#Canal.Sun.Channel.ar - Apr 25, 2026 (0 programs)
ℹ   [137/41412] epgshare01.online (es) - AR1#Canal.Teleantioquia.ar - Apr 24, 2026 (0 programs)
ℹ   [138/41412] epgshare01.online (es) - AR1#Canal.Teleantioquia.ar - Apr 25, 2026 (0 programs)
ℹ   [139/41412] epgshare01.online (es) - AR1#Canal.Telecaribe.ar - Apr 24, 2026 (0 programs)
ℹ   [140/41412] epgshare01.online (es) - AR1#Canal.Telecaribe.ar - Apr 25, 2026 (0 programs)
ℹ   [141/41412] epgshare01.online (es) - AR1#Canal.Telefé.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [142/41412] epgshare01.online (es) - AR1#Canal.Telefé.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [143/41412] epgshare01.online (es) - AR1#Canal.Telehit.ar - Apr 24, 2026 (0 programs)
ℹ   [144/41412] epgshare01.online (es) - AR1#Canal.Telehit.ar - Apr 25, 2026 (0 programs)
ℹ   [145/41412] epgshare01.online (es) - AR1#Canal.Telenostalgia.ar - Apr 24, 2026 (0 programs)
ℹ   [146/41412] epgshare01.online (es) - AR1#Canal.Telenostalgia.ar - Apr 25, 2026 (0 programs)
ℹ   [147/41412] epgshare01.online (es) - AR1#Canal.Televisión.Pública.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [148/41412] epgshare01.online (es) - AR1#Canal.Televisión.Pública.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [149/41412] epgshare01.online (es) - AR1#Canal.TLNovelas.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [150/41412] epgshare01.online (es) - AR1#Canal.TLNovelas.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [151/41412] epgshare01.online (es) - AR1#Canal.TNT.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [152/41412] epgshare01.online (es) - AR1#Canal.TNT.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [153/41412] epgshare01.online (es) - AR1#Canal.TNT.Novelas.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [154/41412] epgshare01.online (es) - AR1#Canal.TNT.Novelas.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [155/41412] epgshare01.online (es) - AR1#Canal.Tooncast.ar - Apr 24, 2026 (0 programs)
ℹ   [156/41412] epgshare01.online (es) - AR1#Canal.Tooncast.ar - Apr 25, 2026 (0 programs)
ℹ   [157/41412] epgshare01.online (es) - AR1#Canal.TV.Chile.ar - Apr 24, 2026 (0 programs)
ℹ   [158/41412] epgshare01.online (es) - AR1#Canal.TV.Chile.ar - Apr 25, 2026 (0 programs)
ℹ   [159/41412] epgshare01.online (es) - AR1#Canal.TV.Globo.Internacional.ar - Apr 24, 2026 (0 programs)
ℹ   [160/41412] epgshare01.online (es) - AR1#Canal.TV.Globo.Internacional.ar - Apr 25, 2026 (0 programs)
ℹ   [161/41412] epgshare01.online (es) - AR1#Canal.TVE.Internacional.(Televisión.Española).ar - Apr 24, 2026 (0 programs)
ℹ   [162/41412] epgshare01.online (es) - AR1#Canal.TVE.Internacional.(Televisión.Española).ar - Apr 25, 2026 (0 programs)
ℹ   [163/41412] epgshare01.online (es) - AR1#Canal.TyC.Sports.ar - Apr 24, 2026 (0 programs)
ℹ   [164/41412] epgshare01.online (es) - AR1#Canal.TyC.Sports.ar - Apr 25, 2026 (0 programs)
ℹ   [165/41412] epgshare01.online (es) - AR1#Canal.USA.Network.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [166/41412] epgshare01.online (es) - AR1#Canal.USA.Network.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [167/41412] epgshare01.online (es) - AR1#Canal.Warner.TV.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [168/41412] epgshare01.online (es) - AR1#Canal.Warner.TV.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [169/41412] epgshare01.online (en) - ASIANTELEVISION1#ABP.News.dk - Apr 24, 2026 (0 programs)
ℹ   [170/41412] epgshare01.online (en) - ASIANTELEVISION1#ABP.News.dk - Apr 25, 2026 (0 programs)
ℹ   [171/41412] epgshare01.online (en) - ASIANTELEVISION1#ARY.QTV.dk - Apr 24, 2026 (0 programs)
ℹ   [172/41412] epgshare01.online (en) - ASIANTELEVISION1#ARY.QTV.dk - Apr 25, 2026 (0 programs)
ℹ   [173/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Aastha.dk - Apr 24, 2026 (0 programs)
ℹ   [174/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Aastha.dk - Apr 25, 2026 (0 programs)
ℹ   [175/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ABP.Sanjha.dk - Apr 24, 2026 (0 programs)
ℹ   [176/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ABP.Sanjha.dk - Apr 25, 2026 (0 programs)
ℹ   [177/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.Digital.dk - Apr 24, 2026 (0 programs)
ℹ   [178/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.Digital.dk - Apr 25, 2026 (0 programs)
ℹ   [179/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.News.dk - Apr 24, 2026 (0 programs)
ℹ   [180/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.News.dk - Apr 25, 2026 (0 programs)
ℹ   [181/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.Zauq.dk - Apr 24, 2026 (0 programs)
ℹ   [182/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.ARY.Zauq.dk - Apr 25, 2026 (0 programs)
ℹ   [183/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Movies.dk - Apr 24, 2026 (0 programs)
ℹ   [184/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Movies.dk - Apr 25, 2026 (0 programs)
ℹ   [185/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Music.dk - Apr 24, 2026 (0 programs)
ℹ   [186/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Music.dk - Apr 25, 2026 (0 programs)
ℹ   [187/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Plus.dk - Apr 24, 2026 (0 programs)
ℹ   [188/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.B4U.Plus.dk - Apr 25, 2026 (0 programs)
ℹ   [189/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Bangla.dk - Apr 24, 2026 (0 programs)
ℹ   [190/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Bangla.dk - Apr 25, 2026 (0 programs)
ℹ   [191/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Brit.Asia.dk - Apr 24, 2026 (0 programs)
ℹ   [192/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Brit.Asia.dk - Apr 25, 2026 (0 programs)
ℹ   [193/41412] epgshare01.online (en) - ASIANTELEVISION1#ATN.Colors.Bangla.dk - Apr 24, 2026 (0 programs)
