═══════════════════════════════════════════════════════════════
  Site            : ontvtonight.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 576s
  Channels        : 10354
  With programmes : 232
  Empty channels  : 10122
  Total programs  : 6118
  Output size     : 1745962 bytes
  HTTP errors     :
    10120 status code 405
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:41:11
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:31:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=ontvtonight.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 5177 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [180/10354] ontvtonight.com (en) - au#1728/7mate - Apr 25, 2026 (25 programs)
ℹ   [181/10354] ontvtonight.com (en) - au#1729/7mate - Apr 24, 2026 (25 programs)
ℹ   [182/10354] ontvtonight.com (en) - au#1729/7mate - Apr 25, 2026 (25 programs)
ℹ   [183/10354] ontvtonight.com (en) - au#1730/7mate - Apr 24, 2026 (26 programs)
ℹ   [184/10354] ontvtonight.com (en) - au#1730/7mate - Apr 25, 2026 (26 programs)
ℹ   [185/10354] ontvtonight.com (en) - au#1731/7mate - Apr 24, 2026 (26 programs)
ℹ   [186/10354] ontvtonight.com (en) - au#1731/7mate - Apr 25, 2026 (29 programs)
ℹ   [187/10354] ontvtonight.com (en) - 7mate.au@Sydney - Apr 24, 2026 (26 programs)
ℹ   [188/10354] ontvtonight.com (en) - 7mate.au@Sydney - Apr 25, 2026 (26 programs)
ℹ   [189/10354] ontvtonight.com (en) - au#1733/7mate - Apr 24, 2026 (25 programs)
ℹ   [190/10354] ontvtonight.com (en) - au#1733/7mate - Apr 25, 2026 (25 programs)
ℹ   [191/10354] ontvtonight.com (en) - au#1734/7mate - Apr 24, 2026 (26 programs)
ℹ   [192/10354] ontvtonight.com (en) - au#1734/7mate - Apr 25, 2026 (30 programs)
ℹ   [193/10354] ontvtonight.com (en) - au#1735/7mate - Apr 24, 2026 (26 programs)
ℹ   [194/10354] ontvtonight.com (en) - au#1735/7mate - Apr 25, 2026 (31 programs)
ℹ   [195/10354] ontvtonight.com (en) - au#1736/7mate - Apr 24, 2026 (26 programs)
ℹ   [196/10354] ontvtonight.com (en) - au#1736/7mate - Apr 25, 2026 (31 programs)
ℹ   [197/10354] ontvtonight.com (en) - au#1737/7mate - Apr 24, 2026 (26 programs)
ℹ   [198/10354] ontvtonight.com (en) - au#1737/7mate - Apr 25, 2026 (31 programs)
ℹ   [199/10354] ontvtonight.com (en) - au#1738/7mate - Apr 24, 2026 (23 programs)
ℹ   [200/10354] ontvtonight.com (en) - au#1738/7mate - Apr 25, 2026 (33 programs)
ℹ   [201/10354] ontvtonight.com (en) - au#1739/7mate - Apr 24, 2026 (26 programs)
ℹ   [202/10354] ontvtonight.com (en) - au#1739/7mate - Apr 25, 2026 (30 programs)
ℹ   [203/10354] ontvtonight.com (en) - au#1740/7mate - Apr 24, 2026 (25 programs)
ℹ   [204/10354] ontvtonight.com (en) - au#1740/7mate - Apr 25, 2026 (25 programs)
ℹ   [205/10354] ontvtonight.com (en) - au#1741/7mate - Apr 24, 2026 (25 programs)
ℹ   [206/10354] ontvtonight.com (en) - au#1741/7mate - Apr 25, 2026 (25 programs)
ℹ   [207/10354] ontvtonight.com (en) - au#1742/7mate - Apr 24, 2026 (26 programs)
ℹ   [208/10354] ontvtonight.com (en) - au#1742/7mate - Apr 25, 2026 (26 programs)
ℹ   [209/10354] ontvtonight.com (en) - au#1743/7mate - Apr 24, 2026 (26 programs)
ℹ   [210/10354] ontvtonight.com (en) - au#1743/7mate - Apr 25, 2026 (26 programs)
ℹ   [211/10354] ontvtonight.com (en) - au#1744/7mate - Apr 24, 2026 (26 programs)
ℹ   [212/10354] ontvtonight.com (en) - au#1744/7mate - Apr 25, 2026 (26 programs)
ℹ   [213/10354] ontvtonight.com (en) - au#1745/7mate - Apr 24, 2026 (26 programs)
ℹ   [214/10354] ontvtonight.com (en) - au#1745/7mate - Apr 25, 2026 (26 programs)
ℹ   [215/10354] ontvtonight.com (en) - au#1746/7mate - Apr 24, 2026 (26 programs)
ℹ   [216/10354] ontvtonight.com (en) - au#1746/7mate - Apr 25, 2026 (26 programs)
ℹ   [217/10354] ontvtonight.com (en) - au#1747/7mate - Apr 24, 2026 (26 programs)
ℹ   [218/10354] ontvtonight.com (en) - au#1747/7mate - Apr 25, 2026 (26 programs)
