═══════════════════════════════════════════════════════════════
  Site            : tvpassport.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 991s
  Channels        : 5806
  With programmes : 5788
  Empty channels  : 18
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 13:11:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:54:47 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvpassport.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 19287 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [163/38574] tvpassport.com (en) - 3abn-proclaim-w23eb-d4-cadillac-mi/37164 - Apr 25, 2026 (35 programs)
ℹ   [164/38574] tvpassport.com (en) - 3abn-proclaim-w28dy-d2-sault-ste-marie-mi/37173 - Apr 25, 2026 (31 programs)
ℹ   [165/38574] tvpassport.com (en) - 3abn-proclaim-w44ct-d2-albany-ny/18106 - Apr 24, 2026 (31 programs)
ℹ   [166/38574] tvpassport.com (en) - 3abn-proclaim-w50co2-jacksonville-fl/18107 - Apr 24, 2026 (31 programs)
ℹ   [167/38574] tvpassport.com (en) - 3abn-proclaim-w50co2-jacksonville-fl/18107 - Apr 25, 2026 (29 programs)
ℹ   [168/38574] tvpassport.com (en) - 3abn-proclaim-w44ct-d2-albany-ny/18106 - Apr 25, 2026 (31 programs)
ℹ   [169/38574] tvpassport.com (en) - 3abn-proclaim/32980 - Apr 24, 2026 (31 programs)
ℹ   [170/38574] tvpassport.com (en) - 3abn-proclaim/32980 - Apr 25, 2026 (29 programs)
ℹ   [171/38574] tvpassport.com (en) - 3abn-radio-k17du-d5-christmas-valley-or/37332 - Apr 24, 2026 (38 programs)
ℹ   [172/38574] tvpassport.com (en) - 3abn-radio-k17du-d5-christmas-valley-or/37332 - Apr 25, 2026 (38 programs)
ℹ   [173/38574] tvpassport.com (en) - 3abn-radio-k17ji-d5-fresno-ca/17805 - Apr 24, 2026 (25 programs)
ℹ   [174/38574] tvpassport.com (en) - 3abn-radio-k17ji-d5-fresno-ca/17805 - Apr 25, 2026 (25 programs)
