═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [147/2144] tv24.co.uk (en) - bbc3-scotland-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [148/2144] tv24.co.uk (en) - bbc3-scotland-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [149/2144] tv24.co.uk (en) - bbc3-wales-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [150/2144] tv24.co.uk (en) - bbc3-wales-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [151/2144] tv24.co.uk (en) - bbc-1-northern-ireland-hd-vm-custom - Apr 24, 2026 (0 programs)
ℹ   [152/2144] tv24.co.uk (en) - bbc-1-northern-ireland-hd-vm-custom - Apr 25, 2026 (0 programs)
ℹ   [153/2144] tv24.co.uk (en) - bbc-1-scotland-hd-vm-custom - Apr 24, 2026 (0 programs)
ℹ   [154/2144] tv24.co.uk (en) - bbc-1-scotland-hd-vm-custom - Apr 25, 2026 (0 programs)
ℹ   [155/2144] tv24.co.uk (en) - bbc-1-wales-hd-vm-custom - Apr 24, 2026 (0 programs)
ℹ   [156/2144] tv24.co.uk (en) - bbc-1-wales-hd-vm-custom - Apr 25, 2026 (0 programs)
ℹ   [157/2144] tv24.co.uk (en) - bbc-1ondon-hd-vm-custom-l - Apr 24, 2026 (0 programs)
ℹ   [158/2144] tv24.co.uk (en) - bbc-1ondon-hd-vm-custom-l - Apr 25, 2026 (0 programs)
ℹ   [159/2144] tv24.co.uk (en) - bbc-2-england-hd-vm-custom - Apr 24, 2026 (0 programs)
ℹ   [160/2144] tv24.co.uk (en) - bbc-alba - Apr 24, 2026 (24 programs)
ℹ   [161/2144] tv24.co.uk (en) - bbc-2-england-hd-vm-custom - Apr 25, 2026 (0 programs)
ℹ   [162/2144] tv24.co.uk (en) - bbc-alba - Apr 25, 2026 (16 programs)
ℹ   [163/2144] tv24.co.uk (en) - bbc-alba-1 - Apr 24, 2026 (0 programs)
ℹ   [164/2144] tv24.co.uk (en) - bbc-alba-1 - Apr 25, 2026 (0 programs)
ℹ   [165/2144] tv24.co.uk (en) - bbc-alba-2 - Apr 25, 2026 (0 programs)
ℹ   [166/2144] tv24.co.uk (en) - bbc-alba-2 - Apr 24, 2026 (0 programs)
ℹ   [167/2144] tv24.co.uk (en) - bbc-alba-hd - Apr 24, 2026 (23 programs)
ℹ   [168/2144] tv24.co.uk (en) - bbc-alba-hd - Apr 25, 2026 (16 programs)
ℹ   [169/2144] tv24.co.uk (en) - BBCFour.uk@UK - Apr 24, 2026 (14 programs)
ℹ   [170/2144] tv24.co.uk (en) - BBCFour.uk@UK - Apr 25, 2026 (11 programs)
ℹ   [171/2144] tv24.co.uk (en) - bbc-four-england-split - Apr 24, 2026 (0 programs)
