═══════════════════════════════════════════════════════════════
  Site            : mytelly.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 86s
  Channels        : 976
  With programmes : 111
  Empty channels  : 865
  Total programs  : 3059
  Output size     : 695478 bytes
  HTTP errors     :
    857 status code 405
    8 status code 404
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:24:13
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:22:46 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mytelly.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 488 channel(s)
ℹ   [132/976] mytelly.co.uk (en) - NickJr.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [133/976] mytelly.co.uk (en) - Boomerang.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [134/976] mytelly.co.uk (en) - Boomerang.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [135/976] mytelly.co.uk (en) - QVC.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [136/976] mytelly.co.uk (en) - QVC.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [137/976] mytelly.co.uk (en) - Film4.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [138/976] mytelly.co.uk (en) - Film4.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [139/976] mytelly.co.uk (en) - SkyShowcase.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [140/976] mytelly.co.uk (en) - SkyShowcase.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [141/976] mytelly.co.uk (en) - MUTV.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [142/976] mytelly.co.uk (en) - MUTV.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [143/976] mytelly.co.uk (en) - SkySportsNews.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [144/976] mytelly.co.uk (en) - SkySportsNews.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [145/976] mytelly.co.uk (en) - Eurosport1.fr@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [146/976] mytelly.co.uk (en) - Eurosport1.fr@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [147/976] mytelly.co.uk (en) - SkySportsMainEvent.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [148/976] mytelly.co.uk (en) - SkySportsMainEvent.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [149/976] mytelly.co.uk (en) - SkySportsCricket.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [150/976] mytelly.co.uk (en) - SkySportsCricket.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [151/976] mytelly.co.uk (en) - SkySportsNFL.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [152/976] mytelly.co.uk (en) - SkySportsNFL.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [153/976] mytelly.co.uk (en) - SkySportsGolf.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [154/976] mytelly.co.uk (en) - SkySportsGolf.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [155/976] mytelly.co.uk (en) - ITV2.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [156/976] mytelly.co.uk (en) - ITV2.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [157/976] mytelly.co.uk (en) - SkyArts.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [158/976] mytelly.co.uk (en) - SkyArts.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [159/976] mytelly.co.uk (en) - E4.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [160/976] mytelly.co.uk (en) - E4.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [161/976] mytelly.co.uk (en) - B4UMovies.in@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [162/976] mytelly.co.uk (en) - B4UMovies.in@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [163/976] mytelly.co.uk (en) - S4C.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [164/976] mytelly.co.uk (en) - S4C.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [165/976] mytelly.co.uk (en) - UtsavPlus.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [166/976] mytelly.co.uk (en) - UtsavPlus.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [167/976] mytelly.co.uk (en) - ITV1.uk@BorderScotland - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [168/976] mytelly.co.uk (en) - ITV1.uk@BorderScotland - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [169/976] mytelly.co.uk (en) - AnimalPlanet.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [170/976] mytelly.co.uk (en) - AnimalPlanet.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [171/976] mytelly.co.uk (en) - SkyHistory.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [172/976] mytelly.co.uk (en) - SkyHistory.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [173/976] mytelly.co.uk (en) - Nickelodeon.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [174/976] mytelly.co.uk (en) - Nickelodeon.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [175/976] mytelly.co.uk (en) - CartoonNetwork.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [176/976] mytelly.co.uk (en) - 706/discovery-channel-1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [177/976] mytelly.co.uk (en) - CartoonNetwork.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [178/976] mytelly.co.uk (en) - 706/discovery-channel-1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [179/976] mytelly.co.uk (en) - Film4.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [180/976] mytelly.co.uk (en) - Film4.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [181/976] mytelly.co.uk (en) - NationalGeographic.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [182/976] mytelly.co.uk (en) - NationalGeographic.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [183/976] mytelly.co.uk (en) - BBCOne.uk@London - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [184/976] mytelly.co.uk (en) - BBCOne.uk@London - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [185/976] mytelly.co.uk (en) - CBBC.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [186/976] mytelly.co.uk (en) - CBBC.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [187/976] mytelly.co.uk (en) - CBeebies.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [188/976] mytelly.co.uk (en) - CBeebies.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [189/976] mytelly.co.uk (en) - BBCFour.uk@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [190/976] mytelly.co.uk (en) - BBCFour.uk@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
